ID,rank,views,company,title,link,file_path
1,0,635050,312,"[종합] '한소희 닮은꼴과 열애설' 유병재, ♥열애 공식 인정…""지인들과 자리서 만나""('전참시')",https://m.entertain.naver.com/ranking/article/312/0000691155,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_1.txt
2,0,454950,144,"[단독] 박서진, 정신질환 거짓말했나···“병역면제 재검여부 밝혀달라” 추가민원",https://m.entertain.naver.com/ranking/article/144/0001004352,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_2.txt
3,0,352842,609,"류현진 집 최초공개, ♥배지현 모닝 풀메에 당황 “결혼하고 처음” (살림남)",https://m.entertain.naver.com/ranking/article/609/0000927432,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_3.txt
4,0,318169,076,"이이경, 교통사고로 전 애인 잃었다...조수민 '따뜻 위로'(결혼해YOU)",https://m.entertain.naver.com/ranking/article/076/0004221884,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_4.txt
5,0,301681,052,[Y랭킹] 패션 베스트 고민시 vs. 워스트 문정희,https://m.entertain.naver.com/ranking/article/052/0002121494,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_5.txt
6,0,293496,108,"요리하는 류현진♥아침 풀메 배지현..동갑내기 부부 일상..""서로 맞춰준다"" [살림남]",https://m.entertain.naver.com/ranking/article/108/0003286719,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_6.txt
7,0,269928,609,"정우성, 이병헌 청룡영화상 개그에도 혼자만 웃지못한 현장 포착",https://m.entertain.naver.com/ranking/article/609/0000927624,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_7.txt
8,0,267422,109,"전소연, (여자)아이들 전원 재계약 공식 발표..""해체 안 한다"" 눈물 [MMA 2024]",https://m.entertain.naver.com/ranking/article/109/0005205388,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_8.txt
9,0,253263,076,"아이비, 원인 불명..긴급사태에 결국 도움 요청했다 ""크게 사례할 것""",https://m.entertain.naver.com/ranking/article/076/0004221839,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_9.txt
10,0,245196,108,"유병재, ♥이유정과 열애 중..송혜교 닮은 9세연하 뷰티 강사 [스타이슈]",https://m.entertain.naver.com/ranking/article/108/0003286742,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20241201_article_10.txt
